gene	chr	pos	basemean	log2fc	pvalue	padj
Gene_5119	chr4	8742393	140.5	-0.2891	2.748229e-03	8.715873e-01
Gene_4797	chr12	55622639	28.1	0.2106	2.245023e-02	7.587611e-04
Gene_2040	chr8	107349586	16.6	0.3952	2.622359e-01	5.539428e-01
Gene_1366	chr7	59040355	3047.7	0.3491	2.136669e-01	1.000000e+00
Gene_6079	chr3	13111002	8.4	-0.3907	3.086573e-01	1.935069e-02
Gene_4891	chr10	2670112	290.7	-0.0015	7.417955e-03	6.499221e-05
Gene_4872	chr5	157066168	1893.3	0.0361	3.079861e-02	6.339108e-01
Gene_7542	chr17	11661229	219.1	-0.3999	1.527726e-02	7.181763e-02
Gene_2695	chr10	47790729	16.0	0.1315	5.082786e-02	4.680501e-02
Gene_4686	chrX	95978727	239.9	0.1673	5.691790e-02	7.719595e-01
Gene_0749	chr14	46506777	148.1	-0.6582	1.038597e-01	1.133533e-01
Gene_3634	chr5	159432391	750.5	0.0253	2.053643e-02	4.878150e-01
Gene_6941	chr6	133895917	154.6	-0.3603	1.814305e-01	3.100099e-02
Gene_3857	chr11	131931051	180.2	-0.0045	6.462089e-02	3.742343e-01
Gene_7414	chr7	120281936	43.3	0.0005	1.704900e-03	4.853816e-01
Gene_7577	chr4	145674142	40.4	0.3422	1.393698e-01	7.196394e-04
Gene_7104	chr17	9367923	126.7	0.5212	3.958221e-02	2.683286e-01
Gene_2108	chr17	20274536	160.3	-0.4664	7.591398e-02	6.017125e-02
Gene_4149	chr13	3725552	39.5	0.6425	4.332856e-02	1.000000e+00
Gene_0708	chr8	141883730	1040.4	-0.3634	4.755891e-05	8.696345e-02
Gene_4717	chr2	147300602	67.8	0.1456	1.253285e-01	3.377635e-03
Gene_7011	chr2	73048329	298.1	0.0261	2.459254e-02	6.896266e-01
Gene_1362	chr8	46442870	79.4	0.0917	3.304322e-03	3.439764e-05
Gene_5998	chr8	35440439	218.0	0.0739	1.065560e-01	1.831206e-01
Gene_5497	chr3	66015279	359.0	0.022	7.296169e-02	1.000000e+00
Gene_3102	chr13	113219447	61.7	-0.5371	6.622135e-03	3.731067e-03
Gene_0748	chr18	21978991	47.8	-0.2372	1.013467e-02	4.996647e-01
Gene_2057	chr3	114854648	141.4	-0.0301	3.079574e-01	1.045809e-01
Gene_1857	chr15	47417162	320.7	0.2481	2.391249e-01	1.285575e-03
Gene_6005	chr7	1033688	24.5	-0.073	1.143854e-01	2.863474e-01
Gene_6211	chr21	1107667	266.5	0.1688	6.088483e-03	4.525147e-01
Gene_7681	chr9	74797331	89.8	-4.0781	2.876788e-04	1.224511e-02
Gene_1238	chr6	21414188	94.8	0.1789	5.331864e-01	6.730818e-01
Gene_6167	chr20	3530663	312.7	-0.1153	7.815441e-04	6.170380e-03
Gene_1009	chr1	16141340	1.3	0.2309	1.360074e-02	9.898994e-01
Gene_4817	chr9	37497616	256.1	0.822	2.358514e-03	1.265654e-01
Gene_7128	chr8	50854696	267.6	0.1458	2.047910e-02	4.321322e-01
Gene_6463	chr22	24717511	27.7	0.0462	6.055562e-03	1.000000e+00
Gene_5069	chr11	103270191	3.3	-0.2104	1.158211e-02	9.215646e-03
Gene_1160	chr9	115312470	1866.1	-0.0512	2.150383e-03	6.435541e-03
Gene_6513	chr16	62943979	358.2	0.0609	8.977942e-02	1.000000e+00
Gene_6674	chr21	11391555	116.7	0.0727	1.045377e-01	4.019802e-01
Gene_6038	chr18	867596	89.6	-0.2928	1.067925e-01	1.330327e-01
Gene_4863	chr2	230147287	366.9	0.252	1.015988e-02	5.872809e-01
Gene_4687	chr14	62274868	20.7	0.6314	6.837179e-02	3.850993e-02
Gene_7512	chr2	204194638	62.1	-0.0047	1.231500e-02	8.394264e-01
Gene_5431	chrX	47354625	33.3	0.5307	1.261205e-02	1.648187e-01
Gene_2146	chr3	75403547	309.0	-0.5934	9.572183e-02	3.264142e-03
Gene_4026	chr4	142372139	9.9	-0.1016	6.936166e-02	3.557138e-01
Gene_3730	chr15	5646320	4737.8	0.5896	2.677455e-01	9.155305e-03
Gene_2435	chr20	59793829	72.6	0.0119	4.684793e-02	3.910423e-02
Gene_5373	chr14	29639503	1017.4	-0.0451	5.540722e-06	1.087708e-01
Gene_5411	chrX	111501703	181.9	-0.1865	1.820852e-02	1.588401e-01
Gene_1041	chr7	16795120	3.5	0.1327	9.841556e-02	1.000000e+00
Gene_5609	chr3	89941326	55.5	-0.5976	3.927895e-02	3.106608e-02
Gene_5587	chr2	1149303	29.8	0.0676	1.655715e-01	2.571015e-01
Gene_5626	chr17	82727326	1224.4	0.1046	9.027924e-02	3.990460e-03
Gene_3703	chr2	152582527	1007.8	0.0782	5.069795e-02	2.467122e-01
Gene_7940	chr3	77005550	7.5	-2.225	7.945861e-04	1.000000e+00
Gene_0864	chr6	84753562	213.5	-0.2293	1.629922e-01	6.782710e-01
Gene_0736	chr6	52520058	1333.4	0.2393	1.200713e-02	1.319647e-01
Gene_4702	chr14	41315287	274.0	0.183	1.176812e-02	1.167189e-01
Gene_2499	chr19	15877779	3.5	-0.6877	6.278491e-02	1.000000e+00
Gene_1955	chr15	99911924	18.6	-0.4324	4.107970e-02	7.389240e-01
Gene_3623	chr13	19617906	18.9	-0.4924	1.954384e-02	3.858478e-02
Gene_0810	chr8	88148992	332.6	0.1772	6.756688e-03	8.044470e-02
Gene_0129	chr20	48379606	386.2	-0.4059	3.614810e-01	4.306738e-01
Gene_2376	chr6	152361770	49.6	0.1595	3.445482e-02	9.357817e-02
Gene_5213	chr1	199085790	309.2	0.2169	1.904956e-03	1.912149e-01
Gene_1150	chr10	40911680	5542.8	0.15	2.174235e-01	5.977985e-02
Gene_2721	chr10	8866574	63.7	0.1718	9.935625e-04	8.462503e-02
Gene_3125	chr9	133726983	66.8	-0.0468	4.792055e-01	3.027573e-01
Gene_2837	chrX	145068785	253.7	0.4155	5.339665e-02	6.088473e-01
Gene_6173	chr19	33631780	10.3	0.6343	8.521323e-02	3.800013e-02
Gene_5150	chr15	40335509	301.3	0.2862	3.770117e-01	1.000000e+00
Gene_7571	chr18	74904999	107.6	0.1182	9.045262e-02	6.042590e-01
Gene_0989	chr1	66563817	8.9	0.4256	8.149136e-02	1.178433e-01
Gene_5240	chrY	54535911	4.9	0.0889	3.352555e-01	1.874649e-01
Gene_2341	chr5	118312023	25.8	-0.4303	2.423458e-01	2.902020e-01
Gene_7167	chr5	83920268	440.4	-0.5349	1.382954e-01	9.157958e-02
Gene_5852	chr1	170561769	196.4	0.0569	3.646438e-01	1.493493e-01
Gene_2023	chr13	66405818	2726.3	0.2561	2.036910e-01	1.147781e-01
Gene_1881	chr1	77987861	959.0	0.1063	2.010102e-01	1.077151e-03
Gene_5533	chr4	105244321	78.7	0.1983	3.232843e-01	2.437796e-01
Gene_6021	chr4	140292819	391.9	0.4802	5.535568e-02	1.284350e-02
Gene_1497	chr8	6729807	93.9	-0.223	1.018871e-01	5.694986e-04
Gene_0136	chr6	126907453	1683.9	-0.2168	4.106484e-03	3.300641e-01
Gene_1844	chr2	54492660	1580.0	0.1996	2.158913e-01	1.186649e-02
Gene_0901	chr8	133776646	6.5	-0.0089	7.453469e-05	4.789909e-01
Gene_4322	chrX	145819755	235.8	-0.0044	6.052226e-02	7.263329e-02
Gene_7110	chr10	80176476	8405.4	-0.525	1.095538e-02	1.000000e+00
Gene_1353	chr6	45172092	11.7	0.1557	2.192203e-01	9.003358e-05
Gene_7676	chr8	21114649	20.0	3.7451	4.675180e-04	4.056334e-01
Gene_0976	chr7	40728058	13.7	0.2859	2.040743e-01	1.409719e-01
Gene_6728	chr4	41553030	1063.7	-0.0684	1.969971e-01	4.207508e-01
Gene_6493	chr5	42040458	1859.8	-0.339	6.539894e-02	7.991221e-02
Gene_5483	chr5	2938494	1.3	-0.006	1.378797e-02	8.513894e-02
Gene_2784	chr13	88477537	973.8	0.3246	1.698119e-02	1.874906e-01
Gene_7506	chr10	118086670	34194.6	-0.2703	6.163710e-03	1.415152e-01
Gene_7560	chr19	54717664	990.2	0.1423	5.562528e-02	1.133304e-01
Gene_0135	chr11	120127792	4106.1	-0.2297	1.018838e-02	4.685766e-02
Gene_2824	chr1	117493012	137.4	-0.3443	3.943891e-02	2.097352e-02
Gene_2443	chr13	107554610	187.8	-0.0106	1.728669e-01	4.772028e-01
Gene_7682	chr6	147631462	1.5	2.4423	2.279164e-04	1.419318e-01
Gene_6872	chr20	14140179	28.1	0.2766	2.433438e-01	1.440425e-01
Gene_6768	chr13	99733968	30.6	0.1176	1.683729e-02	4.828406e-01
Gene_7251	chr14	100018771	2210.5	-1.3396	2.751371e-01	3.272677e-04
Gene_0449	chr20	37002255	1335.0	-0.238	1.749571e-01	1.408843e-01
Gene_4391	chr3	2664057	73.7	0.0655	2.345197e-01	7.983442e-02
Gene_2048	chr5	174709453	1604.5	0.0526	1.495319e-02	9.869826e-01
Gene_3720	chr5	12037459	3871.7	-0.0136	1.500670e-03	2.644220e-03
Gene_0561	chr11	54346325	83.1	0.1185	4.791508e-02	6.728120e-02
Gene_5878	chr4	132702133	73.7	0.1008	2.910184e-04	1.413606e-01
Gene_7894	chr1	199204743	76.1	2.6222	4.481496e-04	7.084062e-02
Gene_4572	chr13	86690024	65.1	0.3267	5.791013e-03	1.564340e-02
Gene_7611	chr8	142062234	139.9	4.2414	5.235198e-04	4.325656e-01
Gene_4557	chr7	20438849	767.9	-0.3949	3.024515e-01	3.514625e-01
Gene_3101	chr1	72279293	314.4	0.1576	8.752365e-03	4.157888e-02
Gene_7665	chr2	33699553	4.4	-3.193	3.550704e-04	4.898541e-06
Gene_0699	chr8	142276359	6.7	-0.2326	3.163607e-01	7.833748e-02
Gene_5433	chrX	55917886	10.3	-0.2355	2.679369e-03	3.802415e-01
Gene_2397	chr2	174820530	128.2	-0.0068	5.264324e-02	3.439138e-03
Gene_0453	chr16	66331431	129.4	0.4475	6.932891e-02	3.729895e-01
Gene_4774	chr5	74766374	64.5	0.1802	4.155773e-04	8.780165e-03
Gene_2781	chr2	143186116	148.4	0.1904	3.104714e-01	2.718151e-01
Gene_4001	chrY	44575732	270.0	-0.1068	4.532632e-02	1.000000e+00
Gene_5281	chr2	9956518	293.6	0.0172	7.302474e-02	6.111482e-02
Gene_2164	chr18	5305378	105.4	0.0641	2.099505e-04	1.000000e+00
Gene_4378	chr8	174812	60.9	-0.293	1.708990e-02	2.447391e-02
Gene_4933	chr15	22890440	332.0	0.3872	4.210182e-04	7.104887e-04
Gene_3222	chr7	9000051	185.9	0.3545	1.138069e-01	2.327203e-01
Gene_7118	chr11	57290807	40.3	0.1479	9.661897e-05	2.593646e-03
Gene_0733	chr13	69701968	11.8	0.0978	4.417935e-01	5.518448e-01
Gene_5353	chrX	141456328	4041.0	0.0224	8.756347e-02	9.861773e-02
Gene_3096	chr3	33410132	93.6	-0.4533	7.812782e-02	3.277355e-02
Gene_6709	chrY	50985373	509.9	-0.0918	4.400414e-05	6.787101e-02
Gene_4495	chr15	66491091	2.3	0.2307	1.314542e-01	5.983529e-01
Gene_6590	chr4	121005449	144.4	-0.7675	4.537184e-02	5.073072e-01
Gene_6161	chrX	804070	3724.6	0.0398	1.462161e-01	1.024764e-03
Gene_1717	chr20	9460983	764.3	0.2027	2.683660e-02	1.000000e+00
Gene_5104	chr21	41890381	356.7	-0.0019	1.068463e-02	3.012115e-01
Gene_6954	chr7	9967503	10.1	-0.3306	2.944970e-02	4.009615e-02
Gene_3303	chr1	206776419	9.8	0.1077	1.314453e-01	6.685166e-02
Gene_1580	chr4	77365164	34.4	0.433	1.007172e-01	7.978360e-01
Gene_7636	chr7	107751467	78.0	3.9483	3.452593e-04	4.184730e-02
Gene_1611	chr4	157518190	125.7	0.1366	5.520897e-01	5.247541e-01
Gene_6804	chr1	79072698	210.9	-0.1201	3.330667e-01	1.366795e-01
Gene_7832	chr3	131468744	213.4	-3.3344	5.635737e-04	4.370426e-01
Gene_0716	chrX	134260745	7.3	0.0015	1.440508e-01	8.002594e-01
Gene_2393	chr7	152106490	33.8	0.0512	2.655526e-02	9.738965e-01
Gene_7546	chr14	36415812	983.7	0.2376	3.482612e-03	1.000000e+00
Gene_1479	chr8	60526386	95.7	0.464	5.105553e-04	1.095861e-01
Gene_3617	chr6	161050648	147.7	0.5054	9.439357e-02	7.885853e-02
Gene_5487	chr7	119079000	20.7	-0.2726	5.272259e-02	8.502937e-01
Gene_6450	chr16	13440176	212.7	0.088	2.755875e-01	7.398477e-01
Gene_4175	chr7	70292830	101.3	-0.1304	5.040277e-02	1.000000e+00
Gene_5709	chr1	78076545	621.5	-0.5718	6.852815e-02	1.767109e-02
Gene_5683	chr17	7026856	2726.9	0.0566	3.706848e-04	1.000000e+00
Gene_6678	chr4	133766921	150.0	0.0278	2.934102e-03	3.758373e-01
Gene_0521	chr2	81129922	392.1	-0.3761	1.571351e-02	2.775551e-02
Gene_2483	chr12	16370791	35.5	-0.5454	4.555781e-02	1.000000e+00
Gene_5512	chr12	95248064	705.9	-0.1145	9.350593e-03	1.000000e+00
Gene_2972	chrY	16706666	343.9	0.3203	1.674119e-02	1.000000e+00
Gene_2823	chr5	162324209	41.2	-0.1614	4.151977e-03	1.955998e-02
Gene_0224	chr1	176485146	8774.8	0.3466	4.701769e-02	3.016802e-03
Gene_0279	chr3	26791965	25.6	-0.009	1.642559e-02	5.737770e-01
Gene_6525	chr1	80053758	141.7	-0.3665	1.404128e-01	1.639417e-01
Gene_6662	chr16	19086334	7.7	-0.4618	7.233835e-01	3.460500e-01
Gene_1288	chr19	34027236	8400.6	-0.0618	3.048571e-02	2.436656e-01
Gene_7974	chr2	67109679	3356.8	3.9404	4.013710e-04	1.514791e-01
Gene_1902	chr1	159899796	4042.0	0.1535	3.653367e-02	4.046377e-03
Gene_3833	chr2	46932610	11.9	-0.3165	6.217121e-02	1.968638e-01
Gene_2311	chr4	162319589	716.0	-0.088	6.754385e-03	3.176584e-04
Gene_0371	chr7	35039065	63.9	0.2327	7.088649e-03	3.604831e-01
Gene_3017	chr17	37152990	37.7	0.0205	5.494994e-02	5.134817e-02
Gene_4747	chr1	158952815	1615.4	-0.2406	3.278343e-03	2.279275e-01
Gene_3216	chr5	107007958	510.1	-0.0881	2.218976e-01	3.204856e-01
Gene_7523	chr4	74235462	228.5	0.0373	3.263595e-03	8.681166e-01
Gene_3091	chr6	124719283	48.7	0.452	8.910173e-03	5.569869e-01
Gene_3336	chr8	7148704	90.3	0.2245	5.467733e-02	2.376276e-01
Gene_1571	chr17	64262088	275.7	-0.251	2.093807e-01	1.000000e+00
Gene_5898	chr15	78128535	354.6	-0.0517	9.598968e-02	3.564988e-01
Gene_1509	chr12	37740754	3090.9	0.6453	4.288903e-02	8.957147e-02
Gene_2305	chr8	73513757	622.4	-0.054	1.177246e-02	6.742457e-01
Gene_2437	chr10	121244666	85.5	0.3892	1.414106e-03	7.849806e-01
Gene_6497	chr11	35577434	730.6	-0.1149	1.830530e-02	1.094420e-01
Gene_2683	chr21	1738747	78.3	0.486	2.145587e-04	9.842886e-01
Gene_1952	chr10	112705356	903.9	-0.1389	1.721150e-03	1.362749e-05
Gene_0659	chr4	45473094	85.0	-0.3055	3.122179e-02	1.876688e-01
Gene_3661	chr10	112758101	12.9	0.343	1.549849e-01	8.058398e-02
Gene_4095	chr6	10512006	451.6	0.1198	5.310471e-04	1.000000e+00
Gene_2072	chr17	36817416	44.1	0.3023	2.770206e-03	1.000000e+00
Gene_7121	chr10	28917704	223.1	0.3058	3.202435e-01	1.680708e-01
Gene_6052	chr19	7450243	553.5	-0.2969	9.552367e-02	3.271453e-01
Gene_7846	chr12	99251504	25.6	-2.9404	3.576528e-04	1.042852e-01
Gene_2024	chr8	64970413	4297.6	0.0961	5.652940e-04	1.751484e-01
Gene_2336	chr21	11191375	34.4	-0.1108	2.372518e-01	1.000000e+00
Gene_1823	chr10	132892631	190.4	-0.3822	4.600887e-02	3.685841e-06
Gene_6528	chr5	102308790	64.6	0.4279	5.847377e-03	2.939545e-01
Gene_5202	chr1	94181536	728.9	-0.2762	4.930887e-02	1.497380e-01
Gene_0455	chr10	37729298	8767.4	0.4615	8.175698e-02	1.264210e-01
Gene_2374	chr2	173062460	92.8	-0.134	8.931656e-02	4.619569e-02
Gene_2919	chr16	7899406	68.0	-0.5917	7.873853e-05	1.398943e-01
Gene_1536	chr10	25417267	1739.3	-0.4257	3.895583e-02	4.431503e-01
Gene_7883	chr8	102899786	243.1	-5.439	7.816116e-04	1.738528e-03
Gene_0016	chr5	87383801	103.6	0.2847	1.530385e-01	7.248607e-01
Gene_5572	chr19	52896176	188.4	0.6991	3.447948e-03	3.483087e-03
Gene_7350	chr5	6476481	260.3	0.2013	2.395013e-02	8.410609e-01
Gene_6265	chrX	145068509	18.1	0.0207	1.115401e-03	1.277391e-04
Gene_4788	chr13	6244995	11046.1	0.3468	9.977105e-02	1.566865e-01
Gene_1202	chr19	51053949	28.2	-0.3411	1.447793e-02	1.000000e+00
Gene_5648	chr20	21568561	401.1	-0.4967	4.893538e-02	1.000000e+00
Gene_7762	chrX	75210975	14.8	3.6974	9.219561e-04	5.604909e-02
Gene_2828	chr5	178406329	53.8	-0.465	3.995855e-02	7.596165e-01
Gene_0154	chr5	139373306	5.4	-0.3572	2.098433e-02	1.313913e-02
Gene_1355	chr10	89293905	265.4	0.5129	9.426307e-02	7.277900e-03
Gene_2965	chr13	107894318	4856.5	-0.1414	9.933117e-04	1.782052e-02
Gene_6574	chr2	77380544	22.8	-0.1313	2.084478e-01	1.000000e+00
Gene_2808	chr12	95174481	18747.2	0.2357	3.011245e-01	9.704324e-03
Gene_6779	chr22	41779144	1067.7	0.4066	1.829738e-04	2.195912e-01
Gene_2920	chr3	190250972	340.6	-0.2214	3.049981e-03	1.000000e+00
Gene_2304	chr5	80848770	100.8	0.1495	6.857220e-02	1.659073e-01
Gene_0572	chr2	225075312	516.1	-0.2453	1.332866e-03	1.256666e-02
Gene_5270	chr4	165686102	63.2	-0.0167	3.723958e-02	3.085957e-01
Gene_3135	chr11	75301799	52.7	0.5391	2.553629e-01	5.828119e-03
Gene_6672	chr5	17899078	361.3	0.2245	1.925736e-02	2.109793e-01
Gene_1788	chr6	113711569	325.8	0.3895	4.725472e-02	2.244784e-03
Gene_0956	chr2	83689117	883.5	-0.2641	6.977337e-02	1.223178e-01
Gene_1851	chr5	71393798	10.0	0.2298	2.721049e-06	1.000000e+00
Gene_2663	chr7	130951313	13.7	0.1745	3.557326e-04	2.180617e-01
Gene_6101	chr5	136343515	74.2	0.5139	1.377498e-01	3.782034e-02
Gene_5603	chr12	20530639	30.9	-0.3249	5.732328e-02	9.493382e-01
Gene_5232	chr15	26440793	136.6	-0.2845	1.116616e-01	1.000000e+00
Gene_5522	chr1	89589290	42.2	0.1208	2.527766e-01	2.113365e-01
Gene_3738	chr1	174692376	739.0	-0.1318	3.157318e-01	6.110835e-01
Gene_6330	chr4	35413059	420.2	-0.1211	3.012285e-03	9.387512e-02
Gene_2583	chr3	28476577	62.7	0.0439	3.497642e-03	2.711293e-01
Gene_2752	chr2	48902869	20.0	-0.0262	2.925414e-01	4.718315e-01
Gene_1064	chr4	181774363	611.2	0.1621	2.294162e-01	6.896006e-01
Gene_5659	chr10	51985635	255.7	-0.2358	7.677849e-02	1.419994e-01
Gene_1972	chr17	64812745	1504.0	-0.1422	2.152170e-02	4.682615e-03
Gene_1634	chr11	79612834	1496.2	-0.3944	2.786354e-01	3.041391e-03
Gene_4714	chr1	39445147	61.9	0.2929	1.297774e-03	7.489653e-04
Gene_3297	chr3	47033365	18.1	0.0196	7.891207e-04	1.234131e-01
Gene_3549	chr5	78275013	27744.3	0.0342	2.087516e-02	7.537505e-01
Gene_5606	chr9	60056969	310.3	-0.0359	6.591654e-02	6.242533e-01
Gene_2472	chr7	87010330	110.2	-0.391	1.101987e-02	9.079722e-01
Gene_6830	chr2	125306586	509.6	-0.0681	1.345021e-02	1.424925e-03
Gene_5200	chr8	138921979	44.2	-0.6004	4.380081e-01	7.244025e-02
Gene_2651	chrY	49777434	11.3	0.228	4.318034e-02	2.288479e-02
Gene_7354	chr3	187848714	2053.3	0.2192	1.228645e-01	3.379874e-01
Gene_2292	chr4	137654115	2.3	-0.0213	5.812300e-02	1.222301e-01
Gene_4854	chr16	77251707	186.3	-0.5253	1.148860e-02	1.000000e+00
Gene_7129	chr9	42481949	335.0	0.0489	1.939212e-02	2.879484e-01
Gene_5354	chr2	209356606	107.6	-0.4715	7.302173e-05	3.884752e-01
Gene_6419	chr2	194036145	226.6	0.5938	2.024534e-01	6.894410e-03
Gene_1661	chr11	87722908	21.3	-0.3737	1.741628e-02	3.221052e-01
Gene_3944	chr6	16032032	313.5	-0.2578	6.879322e-02	1.343167e-03
Gene_6041	chr10	5099016	19.3	0.0625	3.049902e-02	7.396173e-02
Gene_5113	chr4	81316525	61.2	-0.0458	2.804049e-01	1.976852e-01
Gene_5101	chr2	195016086	666.0	-0.2355	9.821397e-02	4.376524e-01
Gene_5786	chr15	61569658	166.0	-0.3888	8.209510e-04	8.752264e-02
Gene_7535	chr11	17260191	457.8	0.4305	2.560916e-02	1.000000e+00
Gene_0287	chr20	1057981	63.7	0.4499	8.396147e-04	5.313436e-02
Gene_6234	chr18	74719145	337.2	-0.3103	2.128230e-02	7.698683e-01
Gene_1870	chr9	121377593	339.0	-0.3993	1.379727e-02	4.281307e-02
Gene_4385	chr1	39087631	1.6	0.0648	1.223146e-01	3.083086e-01
Gene_7033	chr2	173076362	36.5	-0.1588	4.657478e-03	4.790947e-02
Gene_6744	chr1	93366239	595.4	-0.2145	4.690217e-02	1.116712e-01
Gene_4600	chr14	28243359	5645.3	-0.2923	2.415242e-02	1.803254e-01
Gene_6080	chr6	91660377	44.8	-0.1636	5.128246e-02	4.977270e-03
Gene_7090	chr5	157251894	3116.3	-0.2519	1.654197e-03	4.034361e-02
Gene_2295	chr11	129912149	222.5	0.0296	1.027617e-03	2.622206e-02
Gene_5596	chr10	4748066	2803.2	-0.2399	1.116274e-01	2.113310e-01
Gene_7080	chr10	112038384	1003.0	0.2348	8.358763e-02	1.309605e-02
Gene_2573	chr1	213581728	343.5	0.0489	3.007893e-01	5.559421e-01
Gene_6544	chr11	32342082	307.7	0.471	1.401406e-01	2.586023e-01
Gene_4653	chr4	69676469	42.5	0.2496	4.101557e-02	4.842990e-03
Gene_1173	chr3	27680873	57.0	-0.2975	2.830631e-02	1.495525e-02
Gene_6859	chr7	126616791	24.1	0.0919	1.796204e-02	2.133789e-03
Gene_4905	chr13	44090141	385.4	-0.074	4.920694e-02	1.800503e-01
Gene_1958	chr3	169526902	306.0	0.4296	3.473419e-01	5.490758e-02
Gene_0409	chr8	123153358	992.3	-0.3631	2.210070e-01	3.279826e-02
Gene_1431	chr14	44913248	83.3	0.0439	3.113092e-01	4.620941e-01
Gene_2129	chr14	74017666	639.8	0.2356	7.461697e-02	5.067496e-01
Gene_6897	chr5	81193370	343.1	-0.5557	4.986472e-01	8.436241e-03
Gene_1276	chr11	134904784	458.0	-0.8702	6.277939e-03	3.658641e-01
Gene_5714	chr17	17704245	554.3	0.286	2.590509e-02	1.660018e-02
Gene_5543	chr3	128614696	823.6	-0.0903	1.566113e-01	2.337609e-01
Gene_0502	chr3	178742012	195.2	-0.4016	1.259957e-01	4.889398e-01
Gene_4522	chr17	36156995	1363.8	-0.184	2.086668e-01	9.739406e-04
Gene_1890	chr6	35850830	38.7	-0.025	8.291110e-02	8.835796e-01
Gene_5602	chr7	157331711	22.1	0.1756	4.068250e-02	1.463659e-01
Gene_7515	chr18	49081435	86.3	-0.0418	5.818811e-02	7.978996e-01
Gene_4787	chr1	120699345	747.1	0.2832	9.015210e-02	1.123743e-03
Gene_3901	chr2	114889300	64.6	0.1562	4.781852e-02	1.148008e-01
Gene_4545	chr9	112255062	2836.7	0.4801	1.655429e-01	3.106982e-03
Gene_0325	chr3	63467519	19.6	-0.6121	1.468631e-01	3.948941e-02
Gene_7444	chr2	114646272	18.8	-0.0325	1.679672e-02	8.549060e-02
Gene_6882	chr17	69357874	300.9	-0.2836	3.706159e-01	1.000000e+00
Gene_2314	chr7	75030140	908.4	0.3556	1.185960e-01	1.890717e-01
Gene_7869	chrX	125741437	161.3	-4.1386	4.143990e-04	1.000000e+00
Gene_6449	chr13	73113944	508.0	0.6083	2.597458e-02	4.326447e-01
Gene_4238	chr4	178558581	51.0	0.0757	1.245655e-01	1.049263e-01
Gene_5459	chr12	17530740	6448.9	-0.1418	4.309896e-02	1.200144e-01
Gene_1442	chr3	141697331	1.3	0.127	9.595357e-03	6.756089e-03
Gene_6081	chr6	123564303	129.4	0.1108	4.475078e-03	5.651082e-01
Gene_2764	chr1	42233755	166.9	-0.3331	2.471811e-01	4.117390e-01
Gene_3724	chr22	7619710	1.4	-0.2019	2.750567e-02	3.412768e-02
Gene_3777	chr22	7982530	519.6	0.2907	2.916653e-01	8.335118e-01
Gene_2343	chr4	96135561	24.9	-0.2354	2.996770e-01	6.690710e-01
Gene_0169	chr12	106678970	10.9	-0.0959	1.301645e-01	4.461244e-02
Gene_6322	chr15	11326874	316.6	-0.3061	3.605634e-02	4.086053e-02
Gene_2803	chr10	30004369	359.4	0.0318	1.988948e-01	1.737507e-02
Gene_1613	chr1	122382935	80.3	-0.3197	4.901960e-01	1.812203e-01
Gene_7266	chr5	84730085	9.2	-0.0625	6.802875e-03	3.964237e-01
Gene_0525	chr8	56442313	86.9	0.476	7.558970e-03	7.466819e-02
Gene_7574	chr17	125313	65.1	-0.0711	1.358337e-05	7.104198e-02
Gene_4176	chr15	4384680	17.1	-0.2997	1.793230e-03	3.126519e-01
Gene_4228	chr15	65576206	10.3	-0.6259	4.068819e-02	2.885012e-01
Gene_6786	chr4	18350880	1204.9	-0.1796	1.444322e-01	5.355381e-01
Gene_4379	chr7	86868483	700.2	-0.1438	2.113166e-03	6.302076e-02
Gene_3118	chr3	162952837	13.0	0.3752	1.343951e-03	9.789882e-01
Gene_6448	chr10	119535402	118.8	0.0121	2.137666e-02	3.430749e-01
Gene_5758	chr1	8560872	154.8	0.0835	1.853457e-02	9.399827e-01
Gene_4279	chr8	24364014	1667.5	0.511	1.092730e-01	8.724073e-02
Gene_6000	chr22	41372853	11.0	-0.1512	7.904758e-02	7.352284e-01
Gene_7100	chr13	67167040	69.8	-0.0689	1.763047e-01	1.087260e-01
Gene_5737	chr6	61844122	2116.5	0.0465	2.524064e-03	8.864915e-03
Gene_1374	chr1	241961006	955.8	0.1438	5.505186e-02	2.328368e-02
Gene_5971	chr20	55005320	12.7	-0.4592	3.984594e-01	2.161363e-01
Gene_6192	chr13	3274074	538.5	-0.0944	8.591520e-04	3.824970e-01
Gene_6193	chr3	183979854	1206.1	-0.2061	7.176336e-05	1.602781e-02
Gene_2214	chr16	25472314	4558.7	0.2441	2.102329e-01	3.591750e-02
Gene_7866	chr4	118208390	79.4	4.3233	2.394729e-04	5.010300e-01
Gene_6160	chr14	43773480	555.9	0.5621	8.937585e-02	4.682602e-01
Gene_4106	chr3	172273622	45.7	-0.7629	6.084706e-02	7.043578e-02
Gene_7811	chr4	54988394	15.8	4.2826	6.157263e-04	2.271832e-02
Gene_2991	chr4	114871013	528.9	-0.1697	1.689606e-03	1.820424e-03
Gene_6268	chr6	19874035	238.0	0.2947	1.850838e-02	1.953290e-01
Gene_0320	chr21	25682281	2245.4	0.1902	4.668400e-02	1.963743e-01
Gene_2544	chr2	64337810	314.3	-0.1548	4.289716e-02	1.214318e-01
Gene_4640	chr15	12960957	426.0	0.3216	3.152087e-02	1.000000e+00
Gene_6219	chr15	17208817	161.1	0.1202	1.123419e-01	2.013362e-01
